,company,time,username,,sentiment,date
0,TCS,9:15,SaurabhRai_INC,,-0.6697,4/14/2018
0,TCS,9:24,LavanyaMehrotra,,0,4/14/2018
0,TCS,9:34,saidinsin,,0.8481,4/14/2018
0,TCS,9:39,pillaipravin,,0.7506,4/14/2018
0,TCS,9:50,DilawarTalkies,,0.264,4/14/2018
0,TCS,10:03,tajindermenon,,0,4/14/2018
0,TCS,10:09,tajindermenon,,0,4/14/2018
0,TCS,10:11,tajindermenon,,0,4/14/2018
0,TCS,10:13,Stupidosaur,,-0.7259,4/14/2018
0,TCS,10:18,tajindermenon,,0,4/14/2018
0,TCS,10:20,Stupidosaur,,0.101,4/14/2018
0,TCS,10:20,tajindermenon,,0,4/14/2018
0,TCS,10:22,Stupidosaur,,-0.0516,4/14/2018
0,TCS,10:22,polticalquest,,-0.0516,4/14/2018
0,TCS,10:23,Stupidosaur,,0.6705,4/14/2018
0,TCS,10:23,tajindermenon,,-0.3182,4/14/2018
0,TCS,10:25,tajindermenon,,-0.296,4/14/2018
0,TCS,10:26,Stupidosaur,,-0.296,4/14/2018
0,TCS,10:27,tajindermenon,,0,4/14/2018
0,TCS,10:27,capricoincpc,,0.7506,4/14/2018
0,TCS,10:29,Stupidosaur,,0,4/14/2018
0,TCS,10:31,tajindermenon,,0,4/14/2018
0,TCS,10:35,Stupidosaur,,0.2263,4/14/2018
0,TCS,10:38,tajindermenon,,-0.3182,3/27/2018
0,TCS,10:41,Stupidosaur,,0,3/27/2018
0,TCS,10:42,evankirstel,,0,3/27/2018
0,TCS,11:05,Mlketheprince,,0,3/27/2018
0,TCS,12:12,gdajey,,-0.8588,3/27/2018
0,TCS,12:34,ApstraInc,,0,3/27/2018
0,TCS,12:42,avst,,0,3/27/2018
0,TCS,12:45,toddtauber,,0,3/27/2018
0,TCS,12:55,MarieHyde,,0.4215,3/27/2018
0,TCS,12:57,govindwolf,,0.9152,3/27/2018
0,TCS,1:19,Uma_Masurkar,,0.4767,3/27/2018
0,TCS,1:20,urstrulyrao,,0.4767,3/27/2018
0,TCS,1:27,pillaipravin,,0.4767,3/27/2018
0,TCS,1:51,sahildingreja,,0.4767,3/27/2018
0,TCS,2:04,ibs_bhushan,,-0.296,3/27/2018
0,TCS,2:20,cclark_georgia1,,-0.25,3/27/2018
0,TCS,2:51,evankirstel,,0,3/27/2018
0,TCS,3:47,bakshi_harsha,,0,3/27/2018
0,TCS,3:51,UCStrategies,,0,3/27/2018
0,TCS,4:00,varunINFOSYS,,-0.5413,3/27/2018
0,TCS,4:00,NihalKirnalli,,-0.5319,3/27/2018
0,TCS,4:06,vasudevkamath,,0.5719,3/27/2018
0,TCS,4:07,GAChamber,,-0.25,3/27/2018
0,TCS,4:12,Nupendra_Joshi,,-0.4767,3/27/2018
0,TCS,4:14,Nupendra_Joshi,,-0.4019,3/27/2018
0,TCS,4:26,markmcardle,,0,3/27/2018
0,TCS,4:34,CurationSuite,,0.5859,3/27/2018
0,TCS,4:50,soumak_das,,0.5095,3/27/2018
0,TCS,5:42,deskera,,0,3/27/2018
0,TCS,5:56,Womaniya,,0.264,3/27/2018
0,TCS,6:02,BanerjiSougata,,0.5859,3/27/2018
0,TCS,6:04,martin_steinman,,0,3/27/2018
0,TCS,6:06,TCS_SAP,,0.296,3/27/2018
0,TCS,6:19,BanerjiSougata,,0.296,3/27/2018
0,TCS,6:34,Mathiprakasam,,0.4767,3/27/2018
0,TCS,7:00,rao_shilpa,,0.5095,3/27/2018
0,TCS,7:32,palsingh1981,,-0.1027,3/27/2018
0,TCS,7:47,MRAFighter1981,,-0.1027,3/27/2018
0,TCS,8:08,drdrmjo,,0.4215,3/27/2018
0,TCS,2:32,kimayamalhotra,,0.5095,3/27/2018
0,TCS,2:48,bids5ghosh,,0.5859,3/27/2018
0,TCS,3:13,mvenkatsriram,,0,3/27/2018
0,TCS,3:42,soumak_das,,0.1779,3/27/2018
0,TCS,3:59,HexaTata,,0.1779,3/27/2018
0,TCS,4:29,WebTrafficROI,,0.4767,3/27/2018
0,TCS,4:48,InvGurInd,,0,3/27/2018
0,TCS,5:04,MNRFRI,,0.5859,3/27/2018
0,TCS,5:06,HemaVM,,0.5859,3/27/2018
0,TCS,6:07,AIBot4,,0,3/27/2018
0,TCS,6:09,h_mitsuhashi,,0,3/27/2018
0,TCS,6:10,OttLegalRebels,,0,3/27/2018
0,TCS,6:16,AnirbanShome,,0.504,3/27/2018
0,TCS,6:20,HexaTata,,0,3/27/2018
0,TCS,6:41,Adarsh_Sr,,0,3/27/2018
0,TCS,6:47,Amar_Trivedi,,0,3/27/2018
