,company,date,time,username,,sentiment
0,HERO,3/25/2018,3:13,JeremyGarcia11,,0.9072
0,HERO,3/25/2018,12:12,gopal9099,,0.9072
0,HERO,3/25/2018,8:32,MissMohMaya,,0.9072
0,HERO,3/25/2018,8:08,imRajat_Chauhan,,0.7783
0,HERO,3/25/2018,8:08,imRajat_Chauhan,,0.9072
0,HERO,3/25/2018,7:26,Swinging_Swamy,,0.4404
0,HERO,3/25/2018,6:42,RajaSeashore,,0.9072
0,HERO,3/25/2018,6:19,Hero_Cycles,,0.8585
0,HERO,3/25/2018,6:15,rajanbatra7765,,0.7269
0,HERO,3/25/2018,3:51,Rahulscms,,0.9072
0,HERO,3/25/2018,3:30,HeroPleasure,,0.8957
0,HERO,3/25/2018,3:30,HeroWeCare,,0.8957
0,HERO,3/25/2018,3:30,HeroMotoCorp,,0.8957
